Datetime,FLOW-IN-CALC-CLEANED,FLOW-IN-CALC-CLEANED-VOLCOR,FLOW-IN-CALC-RAW-PEAKS
20Dec2025  2100,25232,24972,25037
20Dec2025  2200,24791,24535,24960
20Dec2025  2300,24349,24098,25223
21Dec2025  0000,23936,23689,25085
21Dec2025  0100,23584,23341,24999
21Dec2025  0200,23233,22993,22380
21Dec2025  0300,22881,22645,22382
21Dec2025  0400,22530,22297,22422
21Dec2025  0500,22178,21949,22515
21Dec2025  0600,21827,21602,20979
21Dec2025  0700,21476,21254,19793
21Dec2025  0800,21124,20906,18516
21Dec2025  0900,20773,20558,21141
21Dec2025  1000,20421,20210,19823
21Dec2025  1100,20070,19862,19825
21Dec2025  1200,19718,19514,21232
21Dec2025  1300,19380,19180,19865
21Dec2025  1400,19212,19014,18687
21Dec2025  1500,19044,18847,18419
21Dec2025  1600,18876,18681,18457
21Dec2025  1700,18708,18514,19776
21Dec2025  1800,18540,18348,17230
21Dec2025  1900,18371,18182,15961
21Dec2025  2000,18203,18015,17110
21Dec2025  2100,18035,17849,18469
21Dec2025  2200,17867,17683,18597
21Dec2025  2300,17699,17516,17280
22Dec2025  0000,17531,17350,17190
22Dec2025  0100,17363,17184,17150
22Dec2025  0200,17195,17017,15873
22Dec2025  0300,17063,16887,15831
22Dec2025  0400,16939,16764,17110
22Dec2025  0500,16815,16641,15883
22Dec2025  0600,16691,16518,15923
22Dec2025  0700,16567,16396,17110
22Dec2025  0800,16443,16273,14694
22Dec2025  0900,16318,16150,17280
22Dec2025  1000,16194,16027,15963
22Dec2025  1100,16070,15904,15963
22Dec2025  1200,15946,15781,14505
22Dec2025  1300,15822,15658,17180
22Dec2025  1400,15698,15535,14545
22Dec2025  1500,15573,15412,17140
22Dec2025  1600,15449,15290,14467
22Dec2025  1700,15325,15167,14545
22Dec2025  1800,15201,15044,14507
22Dec2025  1900,15056,14900,13813
22Dec2025  2000,14893,14739,15302
22Dec2025  2100,14731,14579,12589
22Dec2025  2200,14568,14418,12722
22Dec2025  2300,14406,14257,13910
23Dec2025  0000,14243,14096,11481
23Dec2025  0100,14080,13935,12998
23Dec2025  0200,13918,13774,13041
23Dec2025  0300,13755,13613,13131
23Dec2025  0400,13593,13452,14357
23Dec2025  0500,13430,13292,11773
23Dec2025  0600,13268,13131,12899
23Dec2025  0700,13105,12970,12939
23Dec2025  0800,12943,12809,14295
23Dec2025  0900,12780,12648,12983
23Dec2025  1000,12618,12487,12985
23Dec2025  1100,12455,12326,11677
23Dec2025  1200,12292,12165,13081
23Dec2025  1300,12130,12005,11731
23Dec2025  1400,11967,11844,13044
23Dec2025  1500,11805,11683,11679
23Dec2025  1600,11642,11522,11680
23Dec2025  1700,11491,11373,11632
23Dec2025  1800,11412,11294,11646
23Dec2025  1900,11333,11216,10382
23Dec2025  2000,11253,11137,11882
23Dec2025  2100,11174,11058,12654
23Dec2025  2200,11094,10980,11503
23Dec2025  2300,11015,10901,8847
24Dec2025  0000,10935,10822,14260
24Dec2025  0100,10856,10744,7744
24Dec2025  0200,10776,10665,12762
24Dec2025  0300,10697,10586,10160
24Dec2025  0400,10617,10508,10165
24Dec2025  0500,10538,10429,10281
24Dec2025  0600,10458,10350,11375
24Dec2025  0700,10379,10272,10070
24Dec2025  0800,10299,10193,10075
24Dec2025  0900,10220,10114,12418
24Dec2025  1000,10141,10036,9732
24Dec2025  1100,10061,9957,9880
24Dec2025  1200,9982,9879,12427
24Dec2025  1300,9902,9800,7145
24Dec2025  1400,9884,9782,8807
24Dec2025  1500,9884,9782,9789
24Dec2025  1600,9884,9782,12852
24Dec2025  1700,9884,9782,7381
24Dec2025  1800,9884,9782,7638
24Dec2025  1900,9884,9782,8987
24Dec2025  2000,9884,9782,7298
24Dec2025  2100,9884,9782,10335
24Dec2025  2200,9884,9782,11628
24Dec2025  2300,9884,9782,10246
25Dec2025  0000,9884,9782,11588
